"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6933","Удаление статьи","ui","Thu Nov 27 16:24:30 UTC 2025","passed","Thu Nov 27 16:24:37 UTC 2025","UI Tests RealWorld - Page Objects","ui/realworld-ui.test.js","",""
"","99","Challenge 24: OPTIONS /todos (200)","api","Thu Nov 27 16:24:19 UTC 2025","passed","Thu Nov 27 16:24:19 UTC 2025","API Challenges Tests","api/challenges.test.js","",""
"","152","Challenge 09: POST /todos (201) - create todo","api","Thu Nov 27 16:24:18 UTC 2025","passed","Thu Nov 27 16:24:18 UTC 2025","API Challenges Tests","api/challenges.test.js","",""
"","6880","Редактирование статьи","ui","Thu Nov 27 16:24:23 UTC 2025","passed","Thu Nov 27 16:24:30 UTC 2025","UI Tests RealWorld - Page Objects","ui/realworld-ui.test.js","",""
"","5434","Создание статьи с Markdown","ui","Thu Nov 27 16:24:43 UTC 2025","passed","Thu Nov 27 16:24:49 UTC 2025","UI Tests RealWorld - Page Objects","ui/realworld-ui.test.js","",""
"","6149","Добавление комментария к статье","ui","Thu Nov 27 16:24:37 UTC 2025","passed","Thu Nov 27 16:24:43 UTC 2025","UI Tests RealWorld - Page Objects","ui/realworld-ui.test.js","",""
"","5154","Создание новой статьи","ui","Thu Nov 27 16:24:17 UTC 2025","passed","Thu Nov 27 16:24:23 UTC 2025","UI Tests RealWorld - Page Objects","ui/realworld-ui.test.js","",""
"","298","Challenge 03: GET /todos (200)","api","Thu Nov 27 16:24:18 UTC 2025","passed","Thu Nov 27 16:24:18 UTC 2025","API Challenges Tests","api/challenges.test.js","",""
"","200","Challenge 19: PUT /todos/{id} full (200) - update todo","api","Thu Nov 27 16:24:18 UTC 2025","passed","Thu Nov 27 16:24:18 UTC 2025","API Challenges Tests","api/challenges.test.js","",""
"","203","Challenge 23: DELETE /todos/{id} (200)","api","Thu Nov 27 16:24:18 UTC 2025","passed","Thu Nov 27 16:24:19 UTC 2025","API Challenges Tests","api/challenges.test.js","",""
